                            Option1                 Option2                 Option3                  Option4                0ption5                 Option6
Task Predec            Dur	Cost         Dur        Cost	Dur	Cost        Dur         Cost        Dur         Cost        Dur	Cost	

1		44	15500	42	18600	39	20950	37	23300	35	25650	32	26000
2		30	43750	27	46350	25	47450	22	49550	19	50400	15	51750
3		23	45500	20	48350	17	50950	14	53050	10	55650	7	56750
4		22	15500	21	17600	17	20200	16	20800	13	21900	9	24250
5		25	7500	22	9600	21	11950	19	13550	17	13900	13	14500
6		32	7000	29	7600	28	7950	26	8300	24	9900	21	12500
7	1	37	53000	34	53850	30	54950	27	55550	25	56900	21	57250
8	1, 2	29	50250	26	52350	23	54450	21	57300	17	58400	15	59500
9	3, 4	35	47000	33	49600	30	51200	29	54050	25	55150	21	56500
10	4	17	44500	15	46100	13	48950	10	49550	6	52400	3	52750
11	4, 5 	30	23750	29	25850	27	26450	25	27050	24	27650	23	29750
12	6	36	53500	33	53850	30	55450	27	58300	26	61150	24	62000
13	7, 8	21	45500	18	48350	15	49450	11	50800	9	53900	6	55000
14	9	44	14000	42	14350	38	15200	35	16550	31	17150	27	18250
15	10	36	11500	3	12600	31	13950	29	16550	26	17650	24	19000
16	11, 12	43	25250	41	25850	38	28450	35	30550	32	32150	29	33000
17	12	31	16250	27	17850	23	20450	21	22800	19	23650	15	26500
18	13	42	25250	39	27600	38	29700	36	32800	33	32900	31	36000
19	14	39	32000	37	34350	34	35950	32	36050	28	36400	26	37500
20	14, 15	15	52750	13	54850	10	54950	7	55300	3	57650	2	59250
21	16, 17	39	42750	38	45850	36	47450	32	47550	30	50150	27	50500
22	17	41	14250	40	15350	36	17700	33	18800	30	21400	26	22000
23	17	38	19000	36	21100	34	21450	31	21800	28	23400	25	24250
24	18	19	8750	16	11100	13	13700	11	15050	8	17900	7	19250
25	19, 20	17	5250	15	6850	12	9700	11	11550	7	12150	3	15000
26	20	40	44000	39	45100	38	47200	35	48550	33	51150	30	53250
27	21	19	31000	16	31850	13	34200	9	35550	8	38400	7	39500
28	22, 23	26	52750	24	55600	21	56700	19	58050	15	58400	13	60500
29	24	25	49250	23	51100	21	52950	20	53800	19	55150	15	56250
30	24	38	8250	34	8350	31	8950	28	10550	25	11150	23	14000
31	24	17	25750	14	26600	11	28950	9	32050	6	33400	3	35500
32	25	15	14750	12	17100	9	18700	8	21550	7	21900	5	24500
33	26	40	21250	37	23350	35	23450	33	24300	30	25650	28	27500
34	26, 27	37	39500	36	41600	33	42450	31	45300	28	46650	25	49000
35	28	34	32250	31	33600	30	36200	29	37050	25	38650	21	39750
36	28	30	20000	28	21350	26	24450	24	25050	21	25650	18	28750
37	29	33	53750	31	56350	30	57700	27	58050	25	58150	22	61000
38	30	33	53250	29	53600	27	54450	23	55550	20	56400	17	58250
39	31	25	37500	21	39350	18	41200	17	41550	15	43400	13	43750
40	32, 33	21	30750	17	33600	13	35700	10	38300	7	41150	5	42750
41	34	22	24000	18	26350	15	28950	14	31550	12	33400	10	33500
42	35	20	39750	19	40850	18	43450	15	44550	13	46650	12	47250
43	36	26	13250	23	13850	22	14700	19	16800	17	18150	15	20750
44	36	27	37250	25	39850	24	41950	22	43800	19	46400	17	49000
45	37	18	9000	15	10350	12	10700	11	11800	9	14650	7	16250
46	36, 37	41	54000	39	56350	37	57950	36	59800	33	62650	31	64500
47	39	43	26000	41	26350	38	29450	35	29550	32	31650	29	32250
48	40	37	36000	33	37600	32	39950	31	42550	28	43150	26	44000
49	40, 41	39	54000	35	54850	32	55200	29	58050	26	60400	22	62750
50	42	43	31500	41	32600	38	35200	35	38300	33	40900	32	43500
51	43	32	6000	30	6600	28	8450	24	9800	21	12650	18	13000
52	44	38	38500	35	39850	32	40950	29	43800	26	46650	24	48250
53	45	42	51500	40	52850	38	55950	34	56050	31	58150	28	60250
54	46	44	52750	41	53350	39	54450	36	56550	33	59150	31	62000
55	47	44	37500	42	40350	41	40950	38	42550	36	44650	34	47250
56	48	26	28250	23	30350	20	32950	17	33800	13	36650	10	37000
57	49	20	6500	18	8850	17	10950	15	12550	11	14400	9	16500
58	50	25	5000	21	6350	19	8450	17	11050	14	11150	12	12250
59	51	21	24500	19	27100	18	29450	16	30050	12	30150	10	32250
60	52	41	17250	38	20100	36	23200	33	26300	31	28900	27	29500
61	53	17	16750	16	19350	15	22200	11	22550	8	23400	6	25500
62	54	35	18500	32	19100	31	22200	28	23300	26	25650	23	26500
63	55	41	27250	38	30350	35	31700	33	32550	29	34900	25	35750
64	56	40	6000	36	6350	34	6950	31	9050	29	10900	28	12250
65	57	43	35500	41	37100	38	39200	37	40300	33	41400	29	41500
66	58	16	25250	14	25600	12	27700	11	28050	8	28650	7	29750
67	59	33	54250	30	54600	28	57450	26	60300	24	63400	22	64000
68	60	25	13750	24	14850	21	16700	18	17800	14	20650	11	21250
69	60	44	53500	41	55100	37	55950	34	57300	32	58650	30	61000
70	61, 62	18	45250	16	45600	13	45700	12	47300	8	47900	5	50250
71	63	29	18750	26	18850	25	19700	23	20050	19	20900	18	21250
72	64	31	48000	28	48600	26	49700	23	52300	22	55150	20	57500
